,mun,v_blanc,v_nul,PSOE,PP,Cs,ERC,VOX,JUNTS,PNV,PODEMOS,Bildu,BNG,CUP,atur,atur_m24,atur_25_44,atur_M45,atur_h,atur_d,pob_t,esp,euro,asia,ame,UE,oce_apa,afr,h,m,m19,e20_29,e30_39,e40_49,e50_59,e60_69,e70_79,M80,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni
11,2011,0.001798561,0.003597122,0.300359712,0.320143885,0.023381295,0,0.098920863,0,0,0.023381295,0,0,0,0.117924528,0.051724138,0.117256637,0.129261364,0.097442681,0.147932817,616,0.977272727,0.017857143,0,0.00487013,0.017857143,0,0,0.530844156,0.469155844,0.032467532,0.079545455,0.079545455,0.116883117,0.154220779,0.147727273,0.196428571,0.175324675,11858,30.4,57,595,1.81,50.5,11858,30.4,57,595,1.81,50.5,11858,30.4,57,595,1.81,50.5,11858,30.4,57,595,1.81,50.5
12,2012,0.004904632,0.022888283,0.34386921,0.20653951,0.043051771,0,0.122615804,0,0,0.049046322,0,0,0,0.10275335,0.048969072,0.102874433,0.127083333,0.052424242,0.156888309,2334,0.931876607,0.05655527,0.001713796,0.002999143,0.056126821,0,0.006855184,0.509425878,0.490574122,0.133247644,0.137532134,0.144387318,0.148243359,0.149957155,0.074978578,0.083547558,0.068123393,11263.13299,26.4,42.44740933,2316,2.474948187,28.24913644,11263.13299,26.4,42.44740933,2316,2.474948187,28.24913644,11263.13299,26.4,42.44740933,2316,2.474948187,28.24913644,11263.13299,26.4,42.44740933,2316,2.474948187,28.24913644
13,2013,0,0.016,0.168,0.208,0.032,0,0.216,0,0,0.08,0,0,0,0.136752137,0.128787879,0.076086957,0.170454545,0.069148936,0.239247312,158,0.898734177,0.044303797,0,0,0.044303797,0,0.056962025,0.575949367,0.424050633,0.050632911,0.044303797,0.088607595,0.094936709,0.139240506,0.164556962,0.183544304,0.202531646,12219,30.7,56.1,132,1.83,50.5,12219,30.7,56.1,132,1.83,50.5,12219,30.7,56.1,132,1.83,50.5,12219,30.7,56.1,132,1.83,50.5
14,2014,0.008474576,0.005649718,0.310734463,0.206214689,0.011299435,0,0.070621469,0,0,0.104519774,0,0,0,0.106092437,0.019444444,0.074468085,0.15497076,0.037401575,0.184684685,405,0.977777778,0.014814815,0,0.007407407,0.007407407,0,0,0.511111111,0.488888889,0.101234568,0.081481481,0.113580247,0.148148148,0.148148148,0.160493827,0.116049383,0.103703704,11256,25.8,49.9,398,2.11,38.1,11256,25.8,49.9,398,2.11,38.1,11256,25.8,49.9,398,2.11,38.1,11256,25.8,49.9,398,2.11,38.1
15,2015,0.005586592,0.01047486,0.284916201,0.231145251,0.051675978,0,0.17877095,0,0,0.047486034,0,0,0,0.187651332,0.075825826,0.175324675,0.242642643,0.072038153,0.32115942,1833,0.927441353,0.050190944,0,0.008183306,0.050190944,0,0.014184397,0.512274959,0.487725041,0.138025095,0.12111293,0.1167485,0.170212766,0.160392799,0.091107474,0.073104201,0.072013093,9220,27.2,43.1,1808,2.57,29.3,9220,27.2,43.1,1808,2.57,29.3,9220,27.2,43.1,1808,2.57,29.3,9220,27.2,43.1,1808,2.57,29.3
16,2016,0.007575758,0.001893939,0.21780303,0.191287879,0.034090909,0,0.183712121,0,0,0.026515152,0,0,0,0.208437761,0.104497354,0.18175853,0.255980861,0.123204023,0.326846307,603,0.980099502,0.00331675,0,0.016583748,0.001658375,0,0,0.540630182,0.459369818,0.07960199,0.134328358,0.096185738,0.114427861,0.2039801,0.134328358,0.104477612,0.097844113,9533,29,49.5,580,2.04,46.8,9533,29,49.5,580,2.04,46.8,9533,29,49.5,580,2.04,46.8,9533,29,49.5,580,2.04,46.8
17,2017,0.001315789,0.006578947,0.314473684,0.176315789,0.018421053,0,0.111842105,0,0,0.025,0,0,0,0.23893066,0.125,0.179166667,0.29638009,0.19800885,0.29238921,842,0.983372922,0.001187648,0,0.001187648,0.001187648,0,0.014251781,0.526128266,0.473871734,0.071258907,0.066508314,0.080760095,0.110451306,0.133016627,0.142517815,0.187648456,0.188836105,9172,28.2,57,811,1.91,45.8,9172,28.2,57,811,1.91,45.8,9172,28.2,57,811,1.91,45.8,9172,28.2,57,811,1.91,45.8
18,2018,0.003802281,0.006337136,0.272496831,0.296577947,0.041825095,0,0.120405577,0,0,0.029150824,0,0,0,0.11878385,0.075520833,0.08364899,0.161146162,0.061172669,0.184599156,1049,0.844613918,0.02478551,0,0.006673022,0.023832221,0,0.12392755,0.514775977,0.485224023,0.112488084,0.112488084,0.122020972,0.12392755,0.174451859,0.124880839,0.083889418,0.102001907,9849,29.4,46.6,1027,2.45,29.4,9849,29.4,46.6,1027,2.45,29.4,9849,29.4,46.6,1027,2.45,29.4,9849,29.4,46.6,1027,2.45,29.4
19,2019,0.003820034,0.016977929,0.324702886,0.16893039,0.042444822,0,0.145585739,0,0,0.058998302,0,0,0,0.136865942,0.043413174,0.112768817,0.188957863,0.064432124,0.221599843,2779,0.971212666,0.011874775,0,0.003958258,0.01079525,0,0.0129543,0.509175963,0.490824037,0.098236776,0.120906801,0.095717884,0.154372076,0.179201151,0.096437567,0.100035984,0.095358042,9707.933234,22.8,47.19221068,2696,2.438631306,30.98879822,9707.933234,22.8,47.19221068,2696,2.438631306,30.98879822,9707.933234,22.8,47.19221068,2696,2.438631306,30.98879822,9707.933234,22.8,47.19221068,2696,2.438631306,30.98879822
20,2020,0.009411765,0.009411765,0.345882353,0.237647059,0.023529412,0,0.12,0,0,0.04,0,0,0,0.162451362,0.067829457,0.215447154,0.160353535,0.081632653,0.270454545,501,0.9500998,0.033932136,0,0.005988024,0.031936128,0,0.00998004,0.540918164,0.459081836,0.077844311,0.067864271,0.073852295,0.121756487,0.143712575,0.127744511,0.189620758,0.145708583,9735,29,53.5,494,2.11,41.9,9735,29,53.5,494,2.11,41.9,9735,29,53.5,494,2.11,41.9,9735,29,53.5,494,2.11,41.9
