,mun,v_blanc,v_nul,PSOE,PP,Cs,ERC,VOX,JUNTS,PNV,PODEMOS,Bildu,BNG,CUP,atur,atur_m24,atur_25_44,atur_M45,atur_h,atur_d,pob_t,esp,euro,asia,ame,UE,oce_apa,afr,h,m,m19,e20_29,e30_39,e40_49,e50_59,e60_69,e70_79,M80,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni
1736,14058,0.00877193,0.014874142,0.243071447,0.153445207,0.062166285,0,0.127510806,0,0,0.071446733,0,0,0,0.077402461,0.060731857,0.086774325,0.07569077,0.065087559,0.090603299,9845,0.956323007,0.021432199,0.001523616,0.006907059,0.020721178,0.000101574,0.013712544,0.496901981,0.503098019,0.144032504,0.111630269,0.121990858,0.145048248,0.159573388,0.097511427,0.081056374,0.085728796,8845.035471,29,43.84699665,9839,2.394125419,30.40029475,8845.035471,29,43.84699665,9839,2.394125419,30.40029475,8845.035471,29,43.84699665,9839,2.394125419,30.40029475,8845.035471,29,43.84699665,9839,2.394125419,30.40029475
1737,14059,0.016200295,0.008836524,0.310751105,0.200294551,0.038291605,0,0.145802651,0,0,0.051546392,0,0,0,0.084509409,0.034632035,0.105500821,0.082561728,0.086309524,0.082650273,808,0.995049505,0.002475248,0,0.001237624,0.001237624,0,0.001237624,0.502475248,0.497524752,0.125,0.113861386,0.132425743,0.138613861,0.133663366,0.112623762,0.107673267,0.094059406,11619,30.6,45.3,804,2.21,34.9,11619,30.6,45.3,804,2.21,34.9,11619,30.6,45.3,804,2.21,34.9,11619,30.6,45.3,804,2.21,34.9
1738,14060,0.011036339,0.019650067,0.286944818,0.122207268,0.062449529,0,0.134858681,0,0,0.077792732,0,0,0,0.084693211,0.074346405,0.104900459,0.067775107,0.073488272,0.096149615,4629,0.977100886,0.011017498,0.001080147,0.002376323,0.01036941,0,0.008425146,0.502700367,0.497299633,0.152084684,0.113415424,0.15338086,0.140419097,0.131993951,0.113631454,0.079714841,0.057679844,8569.431946,25.4,42.01007802,4614,2.697041612,21.15097529,8569.431946,25.4,42.01007802,4614,2.697041612,21.15097529,8569.431946,25.4,42.01007802,4614,2.697041612,21.15097529,8569.431946,25.4,42.01007802,4614,2.697041612,21.15097529
1739,14061,0.001455604,0.018922853,0.390101892,0.139737991,0.040756914,0,0.104803493,0,0,0.081513828,0,0,0,0.149322169,0.092948718,0.141169154,0.166666667,0.100574713,0.210125448,755,0.990728477,0.00794702,0,0.001324503,0.00794702,0,0,0.507284768,0.492715232,0.060927152,0.091390728,0.080794702,0.096688742,0.17218543,0.140397351,0.127152318,0.19602649,10099,29.1,53.7,710,1.95,41.9,10099,29.1,53.7,710,1.95,41.9,10099,29.1,53.7,710,1.95,41.9,10099,29.1,53.7,710,1.95,41.9
1740,14062,0.002116402,0.007407407,0.367195767,0.227513228,0.031746032,0,0.065608466,0,0,0.037037037,0,0,0,0.121661325,0.098393574,0.155887231,0.107107843,0.0921875,0.152686404,1059,0.994334278,0.005665722,0,0,0.005665722,0,0,0.490084986,0.509915014,0.072710104,0.108593012,0.079320113,0.125590179,0.174693107,0.132200189,0.139754485,0.133144476,10071,25.9,51.1,1015,2.24,33.8,10071,25.9,51.1,1015,2.24,33.8,10071,25.9,51.1,1015,2.24,33.8,10071,25.9,51.1,1015,2.24,33.8
1741,14063,0.00804829,0.012072435,0.308853119,0.204225352,0.048289738,0,0.114688129,0,0,0.034205231,0,0,0,0.038986355,0.032051282,0.059863946,0.026101533,0.039944904,0.037902388,1131,0.985853227,0.007073386,0,0.001768347,0.006189213,0,0.00530504,0.496905393,0.503094607,0.089301503,0.117595049,0.091954023,0.137046861,0.162687887,0.128205128,0.127320955,0.116710875,9339,27.3,50.3,1118,2.06,38.6,9339,27.3,50.3,1118,2.06,38.6,9339,27.3,50.3,1118,2.06,38.6,9339,27.3,50.3,1118,2.06,38.6
1742,14064,0.02027027,0.010135135,0.324324324,0.189189189,0.030405405,0,0.118243243,0,0,0.013513514,0,0,0,0.169902913,0.188596491,0.218253968,0.134126984,0.102987421,0.240833333,356,0.980337079,0.008426966,0,0.011235955,0.008426966,0,0,0.471910112,0.528089888,0.106741573,0.095505618,0.075842697,0.112359551,0.137640449,0.18258427,0.117977528,0.115168539,9148,30,50.3,337,2.12,39.6,9148,30,50.3,337,2.12,39.6,9148,30,50.3,337,2.12,39.6,9148,30,50.3,337,2.12,39.6
1743,14065,0.007142857,0.012087912,0.279120879,0.171978022,0.056043956,0,0.110989011,0,0,0.106043956,0,0,0,0.100912779,0.083695652,0.105345912,0.102773246,0.089718186,0.112650046,2271,0.989431968,0.003963012,0.000440335,0.004403347,0.003522677,0,0.001761339,0.498018494,0.501981506,0.15984148,0.100396301,0.134742404,0.168207838,0.134742404,0.104359313,0.072214883,0.072655218,9609,27.2,42.3,2291,2.48,28,9609,27.2,42.3,2291,2.48,28,9609,27.2,42.3,2291,2.48,28,9609,27.2,42.3,2291,2.48,28
1744,14066,0.01026444,0.014091858,0.225991649,0.128218511,0.0572373,0,0.100904662,0,0,0.166666667,0,0,0,0.13009719,0.074773102,0.141952827,0.141038442,0.101183149,0.160786876,7104,0.989583333,0.005771396,0.001126126,0.00267455,0.004504505,0,0.000844595,0.496480856,0.503519144,0.153434685,0.120073198,0.131052928,0.146818694,0.149493243,0.109797297,0.075168919,0.056587838,8569.968661,26.1,42.05051049,7052,2.704890811,20.81247873,8569.968661,26.1,42.05051049,7052,2.704890811,20.81247873,8569.968661,26.1,42.05051049,7052,2.704890811,20.81247873,8569.968661,26.1,42.05051049,7052,2.704890811,20.81247873
1745,14067,0.010931806,0.01639771,0.238417491,0.179854243,0.048412285,0,0.140031234,0,0,0.102030193,0,0,0,0.134860051,0.106551476,0.142014825,0.136734438,0.098497978,0.175626079,4871,0.992404024,0.003490043,0.000821187,0.00246356,0.003284746,0,0.000821187,0.510367481,0.489632519,0.176555122,0.1042907,0.151303634,0.179429275,0.137754055,0.091562308,0.060973106,0.049887087,9453.81021,25.6,40.52023466,4858,2.584244545,23.92239605,9453.81021,25.6,40.52023466,4858,2.584244545,23.92239605,9453.81021,25.6,40.52023466,4858,2.584244545,23.92239605,9453.81021,25.6,40.52023466,4858,2.584244545,23.92239605
1746,14068,0.005802708,0.01934236,0.352030948,0.119922631,0.058027079,0,0.088974855,0,0,0.096711799,0,0,0,0.184811828,0.15248227,0.209577114,0.17539267,0.163333333,0.209786822,619,0.919224556,0.069466882,0,0.006462036,0.069466882,0,0.004846527,0.486268174,0.513731826,0.080775444,0.098546042,0.095315024,0.155088853,0.147011309,0.124394184,0.121163166,0.1453958,10657,29.1,49,580,2.16,36.1,10657,29.1,49,580,2.16,36.1,10657,29.1,49,580,2.16,36.1,10657,29.1,49,580,2.16,36.1
1747,14069,0.009400545,0.013623978,0.330790191,0.176839237,0.029564033,0,0.072207084,0,0,0.05640327,0,0,0,0.106041924,0.088342441,0.113154708,0.10625,0.088204186,0.125947323,8729,0.985221675,0.011799748,0.001145607,0.001145607,0.011685187,0,0.000687364,0.496162218,0.503837782,0.11799748,0.114789781,0.1284225,0.132775805,0.157062665,0.113071371,0.088669951,0.096574636,9059.338911,26.9,45.2735918,8486,2.41439194,28.84485034,9059.338911,26.9,45.2735918,8486,2.41439194,28.84485034,9059.338911,26.9,45.2735918,8486,2.41439194,28.84485034,9059.338911,26.9,45.2735918,8486,2.41439194,28.84485034
1748,14070,0.003125,0.00703125,0.26953125,0.2625,0.04296875,0,0.09609375,0,0,0.0296875,0,0,0,0.137979798,0.085748792,0.134795322,0.158167496,0.10600907,0.174696181,1461,0.989048597,0.002737851,0,0.004791239,0.002737851,0,0.003422313,0.508555784,0.491444216,0.095824778,0.106776181,0.091718001,0.117043121,0.152635181,0.128678987,0.134154689,0.135523614,10053.92046,27.55,49.50672451,1383,2.268445409,36.41554591,10053.92046,27.55,49.50672451,1383,2.268445409,36.41554591,10053.92046,27.55,49.50672451,1383,2.268445409,36.41554591,10053.92046,27.55,49.50672451,1383,2.268445409,36.41554591
1749,14071,0.005720824,0.012585812,0.268878719,0.1201373,0.035469108,0,0.135011442,0,0,0.04805492,0,0,0,0.186220472,0.100574713,0.203581871,0.197135417,0.111111111,0.267486339,1046,0.984703633,0.009560229,0,0.004780115,0.005736138,0,0.000956023,0.490439771,0.509560229,0.120458891,0.093690249,0.109942639,0.121414914,0.173996176,0.120458891,0.086042065,0.130975143,9461,28,46.7,969,2.14,40.6,9461,28,46.7,969,2.14,40.6,9461,28,46.7,969,2.14,40.6,9461,28,46.7,969,2.14,40.6
1750,14072,0.006103764,0.012207528,0.381485249,0.099694812,0.065106816,0,0.053916582,0,0,0.082400814,0,0,0,0.08436214,0.086711712,0.110486891,0.061074919,0.066863324,0.103559871,1131,0.987621574,0.006189213,0,0.004420866,0.006189213,0,0.001768347,0.503094607,0.496905393,0.094606543,0.090185676,0.117595049,0.117595049,0.147656941,0.147656941,0.112290009,0.146772767,9998,26.1,50.6,1095,1.99,40.9,9998,26.1,50.6,1095,1.99,40.9,9998,26.1,50.6,1095,1.99,40.9,9998,26.1,50.6,1095,1.99,40.9
1751,14073,0.011921965,0.019508671,0.321531792,0.094653179,0.039739884,0,0.110549133,0,0,0.093569364,0,0,0,0.153028028,0.105425056,0.160587975,0.161997886,0.114833641,0.198144105,3229,0.987921957,0.004335708,0,0.006503561,0.004335708,0,0.001238774,0.51502013,0.48497987,0.109631465,0.099411583,0.116754413,0.139981418,0.148962527,0.128213069,0.108392691,0.104056984,8319.019309,28.4,47.98380567,3211,2.259258798,32.00654002,8319.019309,28.4,47.98380567,3211,2.259258798,32.00654002,8319.019309,28.4,47.98380567,3211,2.259258798,32.00654002,8319.019309,28.4,47.98380567,3211,2.259258798,32.00654002
1752,14074,0.007640449,0.014382022,0.395955056,0.179775281,0.048988764,0,0.071011236,0,0,0.075505618,0,0,0,0.111814998,0.076873385,0.135502471,0.104692342,0.09302558,0.131802721,2536,0.992902208,0.002760252,0,0.004337539,0.002760252,0,0,0.498817035,0.501182965,0.095031546,0.125788644,0.111987382,0.108044164,0.175078864,0.121056782,0.094637224,0.119873817,9496.993483,25.8,47.34997963,2455,2.250924644,32.42309572,9496.993483,25.8,47.34997963,2455,2.250924644,32.42309572,9496.993483,25.8,47.34997963,2455,2.250924644,32.42309572,9496.993483,25.8,47.34997963,2455,2.250924644,32.42309572
1753,14075,0.009057971,0.039855072,0.367753623,0.126811594,0.032608696,0,0.079710145,0,0,0.083333333,0,0,0,0.072180135,0.093567251,0.074712644,0.065396114,0.061815336,0.08424408,641,0.973478939,0.020280811,0.001560062,0.003120125,0.020280811,0,0.001560062,0.511700468,0.488299532,0.093603744,0.102964119,0.068642746,0.163806552,0.182527301,0.112324493,0.115444618,0.12324493,10359,22.7,50.3,635,2.16,36.4,10359,22.7,50.3,635,2.16,36.4,10359,22.7,50.3,635,2.16,36.4,10359,22.7,50.3,635,2.16,36.4
1754,15001,0.009580583,0.010006387,0.173940813,0.238662976,0.036193315,0,0.059186715,0,0,0.010645093,0,0.048115819,0,0.073073702,0.036842105,0.067158067,0.086333965,0.062601874,0.084140827,5406,0.989086201,0.006104329,0,0.004439512,0.00517943,0,0.000369959,0.491120977,0.508879023,0.103958565,0.065482797,0.112467629,0.157787643,0.146503885,0.143174251,0.114317425,0.1172771,12322.01074,25.25,49.78275607,5399,2.575695499,27.23348768,12322.01074,25.25,49.78275607,5399,2.575695499,27.23348768,12322.01074,25.25,49.78275607,5399,2.575695499,27.23348768,12322.01074,25.25,49.78275607,5399,2.575695499,27.23348768
1755,15002,0.007611996,0.007695187,0.189384801,0.174701552,0.040930078,0,0.058358637,0,0,0.019009193,0,0.074747307,0,0.079738373,0.024520649,0.085190832,0.092290794,0.065674768,0.092811328,31793,0.948856667,0.01506621,0.001478313,0.031925267,0.013556443,6.29E-05,0.002610638,0.479224987,0.520775013,0.17258516,0.091749756,0.143490706,0.216085302,0.155128487,0.083949297,0.050828799,0.033151952,12302.55154,29.9,39.87592748,32103,2.636630221,25.50927639,12302.55154,29.9,39.87592748,32103,2.636630221,25.50927639,12302.55154,29.9,39.87592748,32103,2.636630221,25.50927639,12302.55154,29.9,39.87592748,32103,2.636630221,25.50927639
1756,15003,0.005373134,0.005373134,0.186268657,0.285970149,0.016119403,0,0.032238806,0,0,0.001791045,0,0.042985075,0,0.04971206,0.033333333,0.037634409,0.060620301,0.054597701,0.043494996,1849,0.990805841,0.002163332,0,0.004867496,0.002163332,0,0.002163332,0.521362899,0.478637101,0.065440779,0.068685776,0.106544078,0.116819903,0.156300703,0.155219037,0.156841536,0.160627366,11593,23.4,55.1,1835,2.41,36.9,11593,23.4,55.1,1835,2.41,36.9,11593,23.4,55.1,1835,2.41,36.9,11593,23.4,55.1,1835,2.41,36.9
1757,15004,0.007717303,0.008326564,0.219333875,0.186433794,0.025792039,0,0.048740861,0,0,0.015434606,0,0.064987815,0,0.103835425,0.029638183,0.109658678,0.11741784,0.08251634,0.12621498,5732,0.979064899,0.00628053,0.002267969,0.006803908,0.005582694,0,0.005582694,0.492847174,0.507152826,0.113921842,0.08060014,0.112700628,0.174982554,0.152128402,0.135729239,0.111479414,0.082170272,12651.12946,28.2,47.67036401,5824,2.289416209,30.82022665,12651.12946,28.2,47.67036401,5824,2.289416209,30.82022665,12651.12946,28.2,47.67036401,5824,2.289416209,30.82022665,12651.12946,28.2,47.67036401,5824,2.289416209,30.82022665
1758,15005,0.008916243,0.009074052,0.185465736,0.150432004,0.028445181,0,0.059375863,0,0,0.016017675,0,0.045764785,0,0.091787385,0.034502398,0.086533914,0.113822199,0.075858821,0.10781659,32262,0.95040605,0.014599219,0.001084868,0.020829459,0.013080404,9.30E-05,0.012987416,0.495195586,0.504804414,0.152284421,0.08942409,0.148502883,0.202777261,0.146302151,0.1032794,0.06754076,0.044975513,11540.36594,28.15,41.97199902,32606,2.569113353,24.41777894,11540.36594,28.15,41.97199902,32606,2.569113353,24.41777894,11540.36594,28.15,41.97199902,32606,2.569113353,24.41777894,11540.36594,28.15,41.97199902,32606,2.569113353,24.41777894
1759,15006,0.008528785,0.009304129,0.152355108,0.223105253,0.02481101,0,0.035471991,0,0,0.008722621,0,0.073657686,0,0.065583882,0.023092369,0.061071429,0.078650664,0.055205599,0.076926755,6041,0.962754511,0.023009436,0.001655355,0.010759808,0.021188545,0,0.001820891,0.498592948,0.501407052,0.094024168,0.078132759,0.122496275,0.127296805,0.162721404,0.137228936,0.12084092,0.121503062,10874.44744,25.4,50.08440027,5936,2.524927561,28.81763814,10874.44744,25.4,50.08440027,5936,2.524927561,28.81763814,10874.44744,25.4,50.08440027,5936,2.524927561,28.81763814,10874.44744,25.4,50.08440027,5936,2.524927561,28.81763814
1760,15007,0.007585335,0.006637168,0.223451327,0.270543616,0.014854614,0,0.040139064,0,0,0.003160556,0,0.051201011,0,0.098166844,0.023618538,0.090198864,0.117894383,0.09991274,0.096368213,3450,0.996521739,0.00173913,0,0.00115942,0.00173913,0,0.00057971,0.471884058,0.528115942,0.068985507,0.071884058,0.095362319,0.129565217,0.144057971,0.153623188,0.162608696,0.146376812,10811.92788,22.7,54.6088902,3397,2.706679423,25.76046512,10811.92788,22.7,54.6088902,3397,2.706679423,25.76046512,10811.92788,22.7,54.6088902,3397,2.706679423,25.76046512,10811.92788,22.7,54.6088902,3397,2.706679423,25.76046512
1761,15008,0.00921006,0.00407368,0.193942614,0.228303224,0.037194474,0,0.073503365,0,0,0.015409139,0,0.050478215,0,0.086956522,0.03525641,0.078772803,0.105461847,0.080272953,0.093734273,6633,0.979194934,0.009347203,0.000150761,0.010251771,0.009045681,0,0.001055329,0.487260666,0.512739334,0.109452736,0.073722298,0.104628373,0.152721242,0.155887231,0.153475049,0.120307553,0.088949193,13756.94228,30.3,48.78813841,6618,2.601316108,25.02280145,13756.94228,30.3,48.78813841,6618,2.601316108,25.02280145,13756.94228,30.3,48.78813841,6618,2.601316108,25.02280145,13756.94228,30.3,48.78813841,6618,2.601316108,25.02280145
1762,15009,0.00952381,0.010561056,0.218104668,0.203583215,0.030645922,0,0.053748232,0,0,0.011409712,0,0.059500236,0,0.092263709,0.038251366,0.093597932,0.10541964,0.077798507,0.10601403,12959,0.956092291,0.014275793,0.001234663,0.023612933,0.013272629,0,0.00478432,0.474959488,0.525040512,0.121845821,0.080407439,0.124932479,0.172081179,0.155799059,0.121845821,0.095917895,0.086735088,11990.95344,28.1,46.39581811,12865,2.377184609,29.67249903,11990.95344,28.1,46.39581811,12865,2.377184609,29.67249903,11990.95344,28.1,46.39581811,12865,2.377184609,29.67249903,11990.95344,28.1,46.39581811,12865,2.377184609,29.67249903
1763,15010,0.010526316,0.008864266,0.168421053,0.254847645,0.012188366,0,0.028808864,0,0,0.004432133,0,0.059833795,0,0.054103927,0.019396552,0.038860104,0.069909623,0.048007246,0.062199313,1985,0.979345088,0.003526448,0,0.006549118,0.003526448,0,0.010579345,0.505289673,0.494710327,0.051889169,0.083123426,0.085642317,0.120403023,0.186901763,0.130478589,0.120403023,0.19697733,10764.62093,24.15,54.6505606,1873,2.449903897,32.85072077,10764.62093,24.15,54.6505606,1873,2.449903897,32.85072077,10764.62093,24.15,54.6505606,1873,2.449903897,32.85072077,10764.62093,24.15,54.6505606,1873,2.449903897,32.85072077
1764,15011,0.005031933,0.009160699,0.177149861,0.188310432,0.031739888,0,0.063028192,0,0,0.011870202,0,0.063866847,0,0.081127889,0.043088976,0.083188546,0.091836417,0.068258366,0.09390165,18838,0.977757724,0.007431787,0.001220936,0.011094596,0.006847861,5.31E-05,0.002441873,0.487153626,0.512846374,0.131701879,0.09422444,0.133453658,0.175496337,0.14311498,0.113334749,0.093056588,0.067098418,10929.70581,23.8,44.67184945,18838,2.668837456,25.02292706,10929.70581,23.8,44.67184945,18838,2.668837456,25.02292706,10929.70581,23.8,44.67184945,18838,2.668837456,25.02292706,10929.70581,23.8,44.67184945,18838,2.668837456,25.02292706
1765,15012,0.00555093,0.017207882,0.169580905,0.298640022,0.0316403,0,0.057452123,0,0,0.006383569,0,0.042464613,0,0.061167228,0.025897436,0.066349638,0.065782422,0.046773024,0.076506955,4220,0.984834123,0.008056872,0.000473934,0.004739336,0.007819905,0,0.001895735,0.49549763,0.50450237,0.11492891,0.095023697,0.124881517,0.156161137,0.152606635,0.127014218,0.096208531,0.095260664,11669.82427,23.25,46.79453539,4154,2.753100626,25.30129995,11669.82427,23.25,46.79453539,4154,2.753100626,25.30129995,11669.82427,23.25,46.79453539,4154,2.753100626,25.30129995,11669.82427,23.25,46.79453539,4154,2.753100626,25.30129995
1766,15013,0.005534472,0.007748261,0.178209994,0.207621758,0.03399747,0,0.05170778,0,0,0.014547755,0,0.064199873,0,0.077070908,0.02011041,0.078495123,0.091804131,0.069601128,0.0843472,7837,0.977542427,0.011101187,0.000637999,0.009825188,0.010335588,0,0.000893199,0.481434222,0.518565778,0.153757815,0.081663902,0.13372464,0.188592574,0.139211433,0.110629067,0.078473906,0.071073115,12457.44665,29.5,43.66700456,7892,2.705108971,25.66066903,12457.44665,29.5,43.66700456,7892,2.705108971,25.66066903,12457.44665,29.5,43.66700456,7892,2.705108971,25.66066903,12457.44665,29.5,43.66700456,7892,2.705108971,25.66066903
1767,15014,0.007038582,0.008602711,0.133472367,0.217935349,0.03076121,0,0.053441084,0,0,0.004171011,0,0.05552659,0,0.101634252,0.032029478,0.089319117,0.126136659,0.076964334,0.126666667,4248,0.995056497,0.002118644,0,0.002589454,0.001412429,0,0.000235405,0.483521657,0.516478343,0.075094162,0.077448211,0.109934087,0.116760829,0.157956685,0.17113936,0.142890772,0.115348399,10773.1247,23.8,52.30986249,4218,2.649924135,25.07581792,10773.1247,23.8,52.30986249,4218,2.649924135,25.07581792,10773.1247,23.8,52.30986249,4218,2.649924135,25.07581792,10773.1247,23.8,52.30986249,4218,2.649924135,25.07581792
1768,15015,0.009037192,0.008342023,0.179005909,0.192214112,0.022940563,0,0.051094891,0,0,0.011122697,0,0.067083768,0,0.085724044,0.022130014,0.094818785,0.094596723,0.081642512,0.090330789,3281,0.984455959,0.007619628,0.002133496,0.005790917,0.006705273,0,0,0.489484913,0.510515087,0.092349893,0.07314843,0.089911612,0.158488266,0.168546175,0.142639439,0.117342274,0.124352332,13558.09681,27.8,49.86095515,3099,2.408002581,29.44001291,13558.09681,27.8,49.86095515,3099,2.408002581,29.44001291,13558.09681,27.8,49.86095515,3099,2.408002581,29.44001291,13558.09681,27.8,49.86095515,3099,2.408002581,29.44001291
1769,15016,0.003510312,0.009214568,0.26349276,0.174857394,0.016235191,0,0.05792014,0,0,0.003729706,0,0.041026766,0,0.106978085,0.051628106,0.101992144,0.124115689,0.06852552,0.145309883,5272,0.981980273,0.004552352,0.001707132,0.004172989,0.003983308,0,0.007587253,0.488808801,0.511191199,0.099203338,0.088770865,0.109446131,0.134104704,0.155159332,0.152693475,0.125379363,0.100720789,9392.836911,26.5,49.88374856,5218,2.387700268,30.95678421,9392.836911,26.5,49.88374856,5218,2.387700268,30.95678421,9392.836911,26.5,49.88374856,5218,2.387700268,30.95678421,9392.836911,26.5,49.88374856,5218,2.387700268,30.95678421
1770,15017,0.009815766,0.007701601,0.215393134,0.154233364,0.038558341,0,0.064431692,0,0,0.018272425,0,0.052652774,0,0.08304957,0.030067283,0.078411719,0.102152183,0.071511442,0.094098379,24648,0.96376988,0.011197663,0.001582278,0.021786758,0.010386238,0,0.001663421,0.487828627,0.512171373,0.136359948,0.090798442,0.125040571,0.189913989,0.173523207,0.109177215,0.072500811,0.050957481,12601.37907,28.5,43.51247151,24568,2.567502442,24.18483393,12601.37907,28.5,43.51247151,24568,2.567502442,24.18483393,12601.37907,28.5,43.51247151,24568,2.567502442,24.18483393,12601.37907,28.5,43.51247151,24568,2.567502442,24.18483393
1771,15018,0.011959522,0.009199632,0.247470101,0.155473781,0.018399264,0,0.02575897,0,0,0.003679853,0,0.073597056,0,0.072661217,0.041666667,0.063707729,0.086956522,0.079663212,0.064894636,1232,0.98538961,0.008116883,0,0.005681818,0.008116883,0,0.000811688,0.496753247,0.503246753,0.078733766,0.060876623,0.11525974,0.159090909,0.145292208,0.151785714,0.122564935,0.124188312,12659,25.4,51.4,1222,2.63,24.6,12659,25.4,51.4,1222,2.63,24.6,12659,25.4,51.4,1222,2.63,24.6,12659,25.4,51.4,1222,2.63,24.6
1772,15019,0.007967361,0.007466995,0.18178669,0.169777915,0.029983449,0,0.055579077,0,0,0.008121319,0,0.085793464,0,0.115218738,0.052268444,0.103673599,0.143083149,0.088037026,0.142334973,31349,0.979042394,0.006443587,0.001531149,0.010494753,0.005805608,0,0.002488118,0.489393601,0.510606399,0.132093528,0.084181314,0.135506715,0.166735781,0.146065265,0.119876232,0.098057354,0.077323041,10854.26684,26.5,45.58970461,31315,2.559493214,25.22412582,10854.26684,26.5,45.58970461,31315,2.559493214,25.22412582,10854.26684,26.5,45.58970461,31315,2.559493214,25.22412582,10854.26684,26.5,45.58970461,31315,2.559493214,25.22412582
1773,15020,0.005325112,0.002522422,0.209080717,0.200112108,0.019618834,0,0.034473094,0,0,0.008127803,0,0.081558296,0,0.094108527,0.035407725,0.072271386,0.121595619,0.075971463,0.113038657,3957,0.990396765,0.004296184,0,0.005307051,0.003790751,0,0,0.472832954,0.527167046,0.072529694,0.064948193,0.101844832,0.122062168,0.147081122,0.164771291,0.159716957,0.139246904,10564.98214,26.45,54.27803011,3919,2.317063026,33.78433274,10564.98214,26.45,54.27803011,3919,2.317063026,33.78433274,10564.98214,26.45,54.27803011,3919,2.317063026,33.78433274,10564.98214,26.45,54.27803011,3919,2.317063026,33.78433274
1774,15021,0.011039208,0.00970689,0.209935287,0.196992767,0.030833651,0,0.050057099,0,0,0.011800533,0,0.057670346,0,0.071337132,0.036311914,0.067993367,0.084923848,0.060433201,0.082219472,6408,0.967228464,0.012484395,0.001404494,0.017322097,0.0110799,0,0.001560549,0.491729089,0.508270911,0.132646692,0.077091136,0.141073658,0.178058677,0.134831461,0.113139825,0.101123596,0.079588015,11883.39811,27.1,45.53274021,6463,2.489430605,27.3215844,11883.39811,27.1,45.53274021,6463,2.489430605,27.3215844,11883.39811,27.1,45.53274021,6463,2.489430605,27.3215844,11883.39811,27.1,45.53274021,6463,2.489430605,27.3215844
1775,15022,0.008422939,0.006451613,0.18046595,0.184767025,0.019175627,0,0.052688172,0,0,0.007526882,0,0.099283154,0,0.086008024,0.013541667,0.096664508,0.095341141,0.068756074,0.104404145,6640,0.949548193,0.029216867,0.001355422,0.011746988,0.028915663,0.000451807,0.007680723,0.495783133,0.504216867,0.101807229,0.081626506,0.114006024,0.146686747,0.156024096,0.135692771,0.123343373,0.106024096,10999.07962,27.9,49.46899458,6644,2.269515352,34.47074052,10999.07962,27.9,49.46899458,6644,2.269515352,34.47074052,10999.07962,27.9,49.46899458,6644,2.269515352,34.47074052,10999.07962,27.9,49.46899458,6644,2.269515352,34.47074052
1776,15023,0.0054166,0.008443524,0.2273379,0.180500239,0.025011948,0,0.054006691,0,0,0.008602836,0,0.061653656,0,0.107474812,0.029340593,0.110956243,0.124118369,0.083405203,0.130937369,7546,0.97786907,0.006626027,0.003047972,0.011529287,0.006360986,0.000132521,0.000795123,0.477736549,0.522263451,0.124304267,0.088656242,0.124039226,0.162337662,0.148025444,0.123244103,0.111847336,0.081632653,10799.27115,28.8,46.9834285,7531,2.504792192,27.40249635,10799.27115,28.8,46.9834285,7531,2.504792192,27.40249635,10799.27115,28.8,46.9834285,7531,2.504792192,27.40249635,10799.27115,28.8,46.9834285,7531,2.504792192,27.40249635
1777,15024,0.010199351,0.015994437,0.216272601,0.228558183,0.019239685,0,0.061427909,0,0,0.004636069,0,0.056791841,0,0.061896839,0.026666667,0.066261808,0.066089965,0.04722582,0.077401323,5001,0.978404319,0.015596881,0.00019996,0.00559888,0.015596881,0,0.00019996,0.49130174,0.50869826,0.098180364,0.078184363,0.126974605,0.159568086,0.139972006,0.130773845,0.124375125,0.111977604,12518.46986,24.05,49.5440016,4993,2.62461446,27.1269978,12518.46986,24.05,49.5440016,4993,2.62461446,27.1269978,12518.46986,24.05,49.5440016,4993,2.62461446,27.1269978,12518.46986,24.05,49.5440016,4993,2.62461446,27.1269978
1778,15025,0.006085193,0.012170385,0.170385396,0.213995943,0.009127789,0,0.031440162,0,0,0.003042596,0,0.047667343,0,0.075794292,0.037878788,0.069390402,0.087947883,0.085669782,0.0651566,1113,0.968553459,0.029649596,0,0.001796945,0.029649596,0,0,0.49146451,0.50853549,0.070080863,0.07277628,0.108715184,0.135669362,0.145552561,0.133872417,0.16262354,0.149146451,10275,24.8,54.2,1086,2.33,31.6,10275,24.8,54.2,1086,2.33,31.6,10275,24.8,54.2,1086,2.33,31.6,10275,24.8,54.2,1086,2.33,31.6
1779,15027,0.014715291,0.01215611,0.202815099,0.287268074,0.039667306,0,0.070377479,0,0,0.005118362,0,0.041586692,0,0.079027113,0.044117647,0.078510802,0.086431833,0.064258912,0.094401042,1824,0.984100877,0.00877193,0,0.005482456,0.00877193,0,0.001644737,0.496710526,0.503289474,0.117872807,0.066337719,0.115679825,0.168311404,0.133223684,0.121710526,0.134320175,0.115679825,12677,24.8,48.7,1799,2.64,24.1,12677,24.8,48.7,1799,2.64,24.1,12677,24.8,48.7,1799,2.64,24.1,12677,24.8,48.7,1799,2.64,24.1
