"municipio","Votosenblanco","Votosnulos","PSOE","PP","Cs","ERC","VOX","JUNTS","PNV","PODEMOS_IU","EH_Bildu","BNG","CUP","atur","aturhomesmenors24","aturhomes25_44","aturhomesmes45","aturdonesmenors24","aturdones25_44","aturdonesmajors45","aturagricultura","aturindustria","aturconstruccio","aturserveis","americana","asiatica","europeossinespanyoles","totalpoblacion","españoles","totalunioneuropea","ambosexostotalamericana","totaloceaniayapatridas","totalhombres","totalextranjeros","totalafrica","totalasia","totalmujeres","mujeresespanyolas","hombresespanyoles","menores","edad20_29","edad30_39","edad40_49","edad50_59","edad60_69","edad70_79","mayores80"
48025,2,5,18,3,4,0,3,0,325,73,231,0,0,37,0,7,11,1,9,9,1,6,5,24,12,0,21,1073,1034,19,12,1,557,39,5,0,516,496,538,152,73,110,188,203,126,79,91
48026,2,2,11,5,3,0,6,0,310,70,419,0,0,42,2,5,13,1,7,14,NA,6,4,29,14,0,19,1436,1399,18,14,0,741,37,4,0,695,674,725,230,112,174,239,256,169,75,111
48027,74,82,2406,1075,149,0,262,0,5838,2525,3721,0,0,1303,38,239,272,37,353,364,20,273,74,817,661,145,577,29791,27499,524,661,6,14554,2292,903,145,15237,14145,13354,4383,2721,3771,5048,4871,3311,2263,1809
48028,3,3,4,2,0,0,4,0,243,31,260,0,0,33,2,11,8,0,5,7,1,11,0,21,18,1,20,823,778,13,18,2,431,45,4,1,392,367,411,83,68,97,120,130,136,84,81
48029,41,30,1466,439,98,0,208,0,1840,1416,457,0,0,506,15,72,90,18,144,167,2,43,45,375,164,31,62,11563,11188,51,164,2,5792,375,116,31,5771,5575,5613,2331,687,1659,2676,1515,992,791,384
48030,2,2,8,2,0,0,1,0,245,20,168,0,0,28,2,6,5,3,8,4,2,9,0,13,10,0,11,788,703,11,10,0,394,85,64,0,394,354,349,105,97,89,99,132,113,70,52
48031,0,0,2,1,1,0,0,0,119,8,90,0,0,13,NA,3,4,0,3,3,NA,1,1,11,3,0,5,350,342,5,3,0,176,8,0,0,174,169,173,30,16,41,44,56,63,48,44
48032,14,25,548,214,28,0,39,0,1411,518,1472,0,0,229,5,37,47,11,66,63,2,51,18,137,156,71,58,7372,6937,53,156,0,3634,435,150,71,3738,3524,3413,1077,636,881,1065,1181,951,685,534
48033,1,0,4,2,1,0,1,0,75,13,64,0,0,11,1,1,1,NA,5,3,NA,0,NA,10,0,0,8,245,236,8,0,0,140,9,1,0,105,101,135,30,13,37,35,34,38,33,16
48034,76,78,2607,1208,211,0,243,0,1652,1695,937,0,0,749,20,122,147,29,176,255,7,164,47,450,272,59,144,15880,14835,138,272,1,7909,1045,569,59,7971,7486,7349,2020,1270,1823,2604,2421,2052,1818,1147
48035,0,0,6,7,2,0,0,0,164,40,94,0,0,19,3,4,2,NA,3,7,NA,2,2,14,13,1,6,536,513,6,13,0,272,23,3,1,264,253,260,99,36,65,107,82,62,30,30
48036,83,76,2940,957,169,0,356,0,5750,2945,3072,0,0,1316,51,240,275,39,290,421,11,214,71,912,351,98,403,29326,28212,383,351,1,14454,1114,261,98,14872,14299,13913,3724,2593,3647,4502,4853,4269,2566,1824
48037,0,12,38,4,1,0,3,0,246,74,116,0,0,42,0,1,15,1,12,13,2,2,6,29,8,1,6,831,816,6,8,0,442,15,0,1,389,376,440,105,49,89,136,161,117,84,52
48038,1,0,41,17,3,0,2,0,441,96,222,0,0,42,3,7,12,1,5,14,3,3,3,27,21,1,14,1379,1342,12,21,0,678,37,1,1,701,675,667,157,140,128,198,284,210,98,100
48039,2,1,6,5,3,0,6,0,111,14,72,0,0,3,NA,0,0,1,1,1,NA,0,1,2,4,0,1,327,322,1,4,0,163,5,0,0,164,161,161,56,22,29,62,56,41,24,16
48040,7,7,49,27,3,0,17,0,480,105,235,0,0,61,5,7,14,3,5,27,1,16,7,33,23,0,15,1663,1622,15,23,0,837,41,3,0,826,795,827,274,119,175,302,251,216,138,101
48041,4,1,12,9,2,0,6,0,313,54,144,0,0,24,1,6,11,2,1,3,NA,6,1,15,12,3,16,836,792,16,12,0,421,44,13,3,415,393,399,95,88,76,123,164,134,62,57
48042,7,10,113,82,13,0,22,0,560,131,108,0,0,81,5,9,19,4,12,32,4,9,4,52,33,0,35,1710,1628,33,33,1,875,82,13,0,835,792,836,226,140,180,318,312,192,126,144
48043,20,12,280,162,24,0,37,0,1629,494,652,0,0,294,12,64,70,4,60,84,2,26,24,220,113,20,79,5785,5556,72,113,0,2849,229,17,20,2936,2799,2757,871,483,584,1063,1022,743,415,309
48044,299,190,5983,8513,634,0,1600,0,16879,5416,5384,0,0,3172,104,579,745,92,676,976,30,329,199,2306,2830,566,1235,77946,72987,1140,2830,12,36461,4959,316,566,41485,38593,34394,9831,7663,8938,11099,11527,11618,8369,5309
48045,9,34,509,142,24,0,74,0,1664,626,739,0,0,417,10,77,88,6,110,126,19,52,16,271,114,20,129,6734,6287,122,114,0,3254,447,184,20,3480,3245,3042,999,573,824,1246,1070,721,503,496
48046,31,50,825,265,55,0,76,0,4330,978,2618,0,0,824,32,156,160,30,242,204,17,149,42,506,320,96,1211,17016,15241,1088,320,13,8171,1775,135,96,8845,7948,7293,2588,1488,2164,2675,2468,1964,1595,1321
48047,2,0,0,0,0,0,0,0,31,7,64,0,0,5,0,0,NA,NA,4,1,0,1,NA,4,4,0,1,208,192,1,4,3,105,16,8,0,103,95,97,39,19,27,41,32,17,9,14
48048,3,1,13,3,1,0,0,0,187,40,130,0,0,34,0,1,15,1,11,6,NA,3,1,29,9,0,7,632,616,5,9,0,321,16,0,0,311,302,314,59,47,66,109,127,95,40,65
48049,1,1,9,1,1,0,3,0,212,36,148,0,0,24,1,3,4,1,10,5,2,3,1,17,16,6,20,735,689,18,16,0,389,46,4,6,346,320,369,135,39,93,108,121,99,52,58
48050,0,0,5,1,0,0,0,0,52,10,73,0,0,13,1,5,2,NA,5,0,2,1,1,7,2,0,3,255,219,2,2,0,159,36,31,0,96,92,127,31,16,36,40,41,35,19,11
48051,0,1,22,9,1,0,2,0,68,26,21,0,0,13,0,4,2,0,2,5,0,2,1,8,9,0,0,251,242,0,9,0,136,9,0,0,115,109,133,21,19,22,39,55,44,21,19
48052,5,10,36,20,3,0,7,0,430,107,596,0,0,56,4,10,15,NA,10,17,1,15,2,33,33,3,7,2033,1986,6,33,0,981,47,4,3,1052,1022,964,359,152,232,386,269,250,131,137
48053,6,2,47,97,5,0,10,0,384,39,109,0,0,47,4,8,11,2,9,13,1,5,3,33,18,0,30,1194,1143,30,18,0,598,51,3,0,596,561,582,199,98,109,207,183,138,108,66
48054,122,108,3418,1660,245,0,507,0,6437,3184,1862,0,0,1555,73,287,314,55,370,456,24,156,122,1095,813,180,303,31795,30233,286,813,0,15498,1562,266,180,16297,15478,14755,4719,2794,4192,5483,4822,4136,2702,1377
48055,14,13,182,60,7,0,20,0,744,224,552,0,0,179,6,22,45,8,56,42,1,41,13,106,65,12,136,3486,3223,134,65,0,1741,263,50,12,1745,1610,1613,589,248,493,741,495,342,216,226
48056,3,3,24,11,3,0,6,0,364,92,224,0,0,47,3,7,14,1,8,14,1,8,6,28,12,0,10,1238,1210,10,12,0,654,28,6,0,584,568,642,200,79,171,249,207,128,76,70
48057,14,11,131,49,7,0,7,0,1820,294,1785,0,0,270,8,52,76,8,67,59,8,68,11,166,251,11,85,7307,6827,81,251,2,3609,480,131,11,3698,3461,3366,967,608,768,1123,1169,934,741,638
48058,2,3,64,14,8,0,4,0,259,74,249,0,0,44,0,3,16,0,12,13,NA,13,3,24,10,1,27,1158,1117,24,10,0,592,41,3,1,566,545,572,156,92,132,210,192,146,117,78
48059,0,2,13,6,0,0,1,0,132,14,131,0,0,10,0,2,1,0,4,3,NA,3,0,6,1,2,21,515,488,21,1,0,263,27,3,2,252,241,247,86,37,70,96,71,68,48,27
48060,12,11,99,43,6,0,4,0,1167,203,881,0,0,165,9,35,38,6,49,28,13,44,2,84,108,13,169,5006,4407,148,108,0,2542,599,309,13,2464,2213,2194,802,405,694,752,719,660,385,369
48061,2,1,33,22,3,0,6,0,318,72,136,0,0,33,2,5,11,0,5,10,1,4,3,23,12,0,9,991,967,8,12,1,511,24,2,0,480,464,503,141,67,108,192,169,111,80,69
48062,0,0,1,0,0,0,2,0,133,17,82,0,0,7,NA,1,1,NA,3,2,NA,0,1,5,12,0,9,383,359,9,12,1,197,24,2,0,186,175,184,61,29,32,71,60,55,39,18
48063,1,4,8,3,0,0,1,0,108,22,107,0,0,15,0,0,5,2,7,1,2,1,1,9,9,0,6,438,421,6,9,0,220,17,2,0,218,208,213,60,39,38,62,93,57,40,32
48064,0,0,17,3,0,0,2,0,217,34,184,0,0,10,2,1,4,1,0,2,NA,5,0,4,3,0,4,761,751,2,3,0,396,10,3,0,365,360,391,123,45,73,141,112,115,59,66
48065,8,15,307,100,11,0,25,0,932,362,564,0,0,217,8,39,43,12,56,59,3,27,17,139,56,6,51,4152,3928,51,56,2,2101,224,109,6,2051,1956,1972,585,367,510,678,656,532,368,275
48066,2,0,1,1,0,0,0,0,150,18,74,0,0,15,NA,4,3,NA,4,4,1,3,2,9,4,0,4,410,396,4,4,0,219,14,6,0,191,185,211,40,22,42,70,70,62,51,32
48067,0,5,27,11,1,0,0,0,369,60,336,0,0,54,4,13,16,0,7,14,3,10,4,35,23,0,26,1465,1378,23,23,0,761,87,38,0,704,673,705,227,100,137,269,241,157,141,105
48068,1,5,30,15,2,0,1,0,689,107,300,0,0,63,2,11,19,1,12,18,1,13,6,38,33,1,20,1852,1790,20,33,4,898,62,4,1,954,924,866,234,138,210,281,284,280,201,162
48069,55,49,866,586,75,0,230,0,4418,1266,1607,0,0,811,27,140,134,27,237,246,10,109,42,554,609,72,317,17691,16353,261,609,3,8618,1338,337,72,9073,8358,7995,3000,1676,2161,3177,2731,1934,1247,809
48070,0,2,10,1,0,0,0,0,103,19,221,0,0,12,NA,1,2,1,5,3,NA,3,0,8,14,0,1,654,632,1,14,0,323,22,7,0,331,317,315,89,41,74,93,94,81,68,81
48071,23,35,1017,132,22,0,74,0,1552,785,571,0,0,484,15,90,110,24,106,139,9,54,59,296,113,21,48,7507,7263,43,113,0,3691,244,62,21,3816,3688,3575,1086,597,957,1337,1216,872,575,526
48072,3,6,30,14,0,0,2,0,268,50,353,0,0,38,3,9,7,2,10,7,3,6,3,21,46,14,14,1314,1201,14,46,6,670,113,33,14,644,588,613,233,86,186,236,162,149,99,111
48073,38,23,207,100,9,0,25,0,1622,456,2119,0,0,384,22,82,75,11,85,109,26,129,9,196,129,34,73,8400,7902,68,129,2,4209,498,260,34,4191,4040,3862,957,773,929,1263,1408,1109,930,682
48074,11,13,267,128,15,0,56,0,940,284,583,0,0,125,1,17,34,NA,24,49,5,30,15,69,81,3,16,4232,3894,16,81,4,2195,338,234,3,2037,1920,1974,598,321,486,674,667,540,353,318
48075,9,16,100,51,3,0,21,0,760,191,369,0,0,47,1,8,13,0,12,13,0,10,5,28,26,1,68,2636,2513,67,26,5,1294,123,23,1,1342,1271,1242,394,209,290,457,465,266,207,203
48076,1,0,15,4,0,0,4,0,128,12,47,0,0,18,NA,3,3,0,2,10,NA,2,1,14,4,0,3,332,325,3,4,0,169,7,0,0,163,158,167,33,27,32,41,62,56,44,26
48077,9,16,207,131,15,0,36,0,1182,357,501,0,0,235,8,47,59,7,38,76,4,26,17,162,123,11,89,4331,4086,78,123,1,2114,245,21,11,2217,2079,2007,598,426,481,731,773,534,317,230
48078,157,140,7760,2253,256,0,578,0,6959,5151,2447,0,0,2919,101,480,761,82,606,889,26,313,301,1932,934,255,512,45766,43544,446,934,8,21884,2222,513,255,23882,22737,20807,4995,3584,5019,7232,7322,6320,5281,4193
48079,1,2,7,5,0,0,1,0,130,33,107,0,0,22,NA,5,5,2,6,4,3,5,2,12,3,1,9,479,466,8,3,0,263,13,0,1,216,210,256,67,28,45,81,86,70,39,51
48080,44,56,1856,296,63,0,146,0,2082,1379,860,0,0,684,31,112,161,18,163,199,6,60,70,466,139,17,73,11985,11668,70,139,0,5826,317,88,17,6159,5983,5685,1486,997,1318,2041,1992,1575,1227,822
48081,7,8,101,46,7,0,14,0,827,141,295,0,0,82,5,11,14,3,21,28,2,16,3,52,45,1,46,2412,2300,41,45,0,1197,112,20,1,1215,1150,1150,371,208,245,406,415,323,180,145
48082,125,161,6539,1759,273,0,649,0,7252,5157,3191,0,0,3250,144,582,707,139,742,936,35,272,343,2097,720,201,484,45853,43741,455,720,1,22023,2112,706,201,23830,22802,20939,5723,3737,5385,7825,7254,5915,4534,3562
